"date,description,amount,type"
"2026-09-01,SALARY CREDIT INFOSOFT SYSTEMS,85000,income"
"2026-09-01,RENT PAYMENT,22000,expense"
"2026-09-02,ELECTRICITY BILL,1850,expense"
"2026-09-03,UPI/PAY*BIGBASKET,3200,expense"
"2026-09-04,HEALTH INSURANCE PREMIUM,4500,expense"
"2026-09-05,UBER TRIP,380,expense"
"2026-09-06,NETFLIX SUBSCRIPTION,649,expense"
"2026-09-07,SPOTIFY SUBSCRIPTION,119,expense"
"2026-09-08,RESTAURANT PAYMENT,1850,expense"
"2026-09-10,STOCK INVESTMENT,10000,expense"
"2026-09-11,UPI/PAY*SWIGGY,620,expense"
"2026-09-12,AMAZON PAY SHOPPING,4200,expense"
"2026-09-14,MOBILE BILL,899,expense"
"2026-09-15,UBER TRIP,450,expense"
"2026-09-16,UPI/PAY*BIGBASKET,2800,expense"
"2026-09-18,SIP MUTUAL FUND,8000,expense"
"2026-09-20,INTEREST CREDIT,850,income"
"2026-09-21,UPI/PAY*SWIGGY,580,expense"
"2026-09-23,GYM MEMBERSHIP,1800,expense"
"2026-09-25,RESTAURANT PAYMENT,2400,expense"
"2026-09-27,ONLINE SHOPPING,6500,expense"
"2026-09-29,ELECTRICITY BILL,1720,expense"
"2026-09-30,SALARY BONUS CREDIT,15000,income"
